"","numeric_colnames","numeric_realnames"
"1","PIV_1","PIQ-NL Question 1"
"2","PIV_2","PIQ-NL Question 2"
"3","PIV_3","PIQ-NL Question 3"
"4","PIV_4","PIQ-NL Question 4"
"5","PIV_5","PIQ-NL Question 5"
"6","PIV_6","PIQ-NL Question 6"
"7","PIV_7","PIQ-NL Question 7"
"8","PIV_8","PIQ-NL Question 8"
"9","PIV_9","PIQ-NL Question 9"
"10","PIV_10","PIQ-NL Question 10"
"11","PIV_11","PIQ-NL Question 11"
"12","PIV_12","PIQ-NL Question 12"
"13","PIV_13","PIQ-NL Question 13"
"14","PIV_14","PIQ-NL Question 14"
"15","PIV_15","PIQ-NL Question 15"
"16","PIV_16","PIQ-NL Question 16"
"17","PIV_17","PIQ-NL Question 17"
"18","PIV_18","PIQ-NL Question 18"
"19","PIV_19","PIQ-NL Question 19"
"20","PIV_20","PIQ-NL Question 20"
"21","PIV_21","PIQ-NL Question 21"
"22","PIV_22","PIQ-NL Question 22"
"23","PIV_23","PIQ-NL Question 23"
"24","PIV_24","PIQ-NL Question 24"
"25","PIV_25","PIQ-NL Question 25"
"26","PIV_26","PIQ-NL Question 26"
"27","PIV_27","PIQ-NL Question 27"
"28","PIV_28","PIQ-NL Question 28"
"29","EBI_1","EBI-NL Question 1"
"30","EBI_2","EBI-NL Question 2"
"31","EBI_3","EBI-NL Question 3"
"32","EBI_4","EBI-NL Question 4"
"33","EBI_5","EBI-NL Question 5"
"34","EBI_6","EBI-NL Question 6"
"35","EBI_7","EBI-NL Question 7"
"36","EBI_8","EBI-NL Question 8"
"37","MEV_1","Dutch MEQ30 Question 1"
"38","MEV_2","Dutch MEQ30 Question 2"
"39","MEV_3","Dutch MEQ30 Question 3"
"40","MEV_4","Dutch MEQ30 Question 4"
"41","MEV_5","Dutch MEQ30 Question 5"
"42","MEV_6","Dutch MEQ30 Question 6"
"43","MEV_7","Dutch MEQ30 Question 7"
"44","MEV_8","Dutch MEQ30 Question 8"
"45","MEV_9","Dutch MEQ30 Question 9"
"46","MEV_10","Dutch MEQ30 Question 10"
"47","MEV_11","Dutch MEQ30 Question 11"
"48","MEV_12","Dutch MEQ30 Question 12"
"49","MEV_13","Dutch MEQ30 Question 13"
"50","MEV_14","Dutch MEQ30 Question 14"
"51","MEV_15","Dutch MEQ30 Question 15"
"52","MEV_16","Dutch MEQ30 Question 16"
"53","MEV_17","Dutch MEQ30 Question 17"
"54","MEV_18","Dutch MEQ30 Question 18"
"55","MEV_19","Dutch MEQ30 Question 19"
"56","MEV_20","Dutch MEQ30 Question 20"
"57","MEV_21","Dutch MEQ30 Question 21"
"58","MEV_22","Dutch MEQ30 Question 22"
"59","MEV_23","Dutch MEQ30 Question 23"
"60","MEV_24","Dutch MEQ30 Question 24"
"61","MEV_25","Dutch MEQ30 Question 25"
"62","MEV_26","Dutch MEQ30 Question 26"
"63","MEV_27","Dutch MEQ30 Question 27"
"64","MEV_28","Dutch MEQ30 Question 28"
"65","MEV_29","Dutch MEQ30 Question 29"
"66","MEV_30","Dutch MEQ30 Question 30"
"67","SWLS...before_1","SWLS Before the Psychedelic Experience Question 1"
"68","SWLS...before_2","SWLS Before the Psychedelic Experience Question 2"
"69","SWLS...before_3","SWLS Before the Psychedelic Experience Question 3"
"70","SWLS...before_4","SWLS Before the Psychedelic Experience Question 4"
"71","SWLS...before_5","SWLS Before the Psychedelic Experience Question 5"
"72","SWLS...after_1","SWLS After the Psychedelic Experience Question 1"
"73","SWLS...after_2","SWLS After the Psychedelic Experience Question 2"
"74","SWLS...after_3","SWLS After the Psychedelic Experience Question 3"
"75","SWLS...after_4","SWLS After the Psychedelic Experience Question 4"
"76","SWLS...after_5","SWLS After the Psychedelic Experience Question 5"
"77","PIS.6_1","PIS-NL Question 1"
"78","PIS.6_2","PIS-NL Question 2"
"79","PIS.6_3","PIS-NL Question 3"
"80","PIS.6_4","PIS-NL Question 4"
"81","PIS.6_5","PIS-NL Question 5"
"82","PIS.6_6","PIS-NL Question 6"
"83","PIS.7._1","PIS-NL Question 7"
"84","PIV_1_rt","Retest PIQ-NL Question 1"
"85","PIV_2_rt","Retest PIQ-NL Question 2"
"86","PIV_3_rt","Retest PIQ-NL Question 3"
"87","PIV_4_rt","Retest PIQ-NL Question 4"
"88","PIV_5_rt","Retest PIQ-NL Question 5"
"89","PIV_6_rt","Retest PIQ-NL Question 6"
"90","PIV_7_rt","Retest PIQ-NL Question 7"
"91","PIV_8_rt","Retest PIQ-NL Question 8"
"92","PIV_9_rt","Retest PIQ-NL Question 9"
"93","PIV_10_rt","Retest PIQ-NL Question 10"
"94","PIV_11_rt","Retest PIQ-NL Question 11"
"95","PIV_12_rt","Retest PIQ-NL Question 12"
"96","PIV_13_rt","Retest PIQ-NL Question 13"
"97","PIV_14_rt","Retest PIQ-NL Question 14"
"98","PIV_15_rt","Retest PIQ-NL Question 15"
"99","PIV_16_rt","Retest PIQ-NL Question 16"
"100","PIV_17_rt","Retest PIQ-NL Question 17"
"101","PIV_18_rt","Retest PIQ-NL Question 18"
"102","PIV_19_rt","Retest PIQ-NL Question 19"
"103","PIV_20_rt","Retest PIQ-NL Question 20"
"104","PIV_21_rt","Retest PIQ-NL Question 21"
"105","PIV_22_rt","Retest PIQ-NL Question 22"
"106","PIV_23_rt","Retest PIQ-NL Question 23"
"107","PIV_24_rt","Retest PIQ-NL Question 24"
"108","PIV_25_rt","Retest PIQ-NL Question 25"
"109","PIV_26_rt","Retest PIQ-NL Question 26"
"110","PIV_27_rt","Retest PIQ-NL Question 27"
"111","PIV_28_rt","Retest PIQ-NL Question 28"
"112","EBI_1_rt","Retest EBI-NL Question 1"
"113","EBI_2_rt","Retest EBI-NL Question 2"
"114","EBI_3_rt","Retest EBI-NL Question 3"
"115","EBI_4_rt","Retest EBI-NL Question 4"
"116","EBI_5_rt","Retest EBI-NL Question 5"
"117","EBI_6_rt","Retest EBI-NL Question 6"
"118","EBI_7_rt","Retest EBI-NL Question 7"
"119","EBI_8_rt","Retest EBI-NL Question 8"
"120","piv_total_23","PIQ23-NL"
"121","piv_total_28","PIQ28-NL"
"122","ebi_total_6","EBI6-NL"
"123","ebi_total_8","EBI8-NL"
"124","retest_piv_total_23","Retest PIQ23-NL"
"125","retest_piv_total_28","Retest PIQ28-NL"
"126","retest_ebi_total_6","Retest EBI6-NL"
"127","retest_ebi_total_8","Retest EBI8-NL"
"128","pis_total_6","PIS6-NL "
"129","pis_total_7","PIS7-NL "
"130","mev_total","Dutch MEQ30 "
"131","swls_before_total","SWLS Before the Psychedelic Experience "
"132","swls_after_total","SWLS After the Psychedelic Experience "
"133","Progress","Progress"
"134","Leeftijd","Leeftijd"
